v,scenario,N,mean_pnl,std_pnl,p10,p25,p50,p75,p90
16,speed_race,50,39356.38389707808,16463.232730637676,18757.949702109312,28408.18825679137,38058.4268114733,47708.66536615537,57358.90392083736
18,speed_race,50,41689.87189359114,17108.278504663827,16609.263773918385,25957.932373766627,44655.269573462996,54003.93817331118,63352.60677315942
20,speed_race,50,48069.217464292655,18681.658829889922,23535.169705732682,32585.652131053546,50686.616981695464,59737.09940701646,68787.58183233738
22,speed_race,50,50447.476529676926,19089.66863478477,29877.92583167476,38631.6711282967,47385.41642491857,64892.9070181624,73646.65231478428
24,speed_race,50,52757.505964276825,19509.88087240292,27179.56407668267,35637.598496045204,52553.667334770216,61011.70175413269,77927.77059285765
26,speed_race,50,58735.32386988702,20136.208510961125,32684.577858250545,40850.95591832466,57183.71203847295,73516.46815862118,81682.84621869528
28,speed_race,50,60480.77051768415,20273.90949935723,37606.27892124164,45481.00062202745,61230.44402359896,76979.88742517047,84854.60912595628
30,speed_race,50,65143.677788340436,20562.860067686626,41992.03328722883,49579.00510473222,64752.948739739004,79926.89237474585,95100.83600975265
32,speed_race,50,65955.82733380128,20241.54657637553,38520.63580469189,53121.97779309466,67723.31978149741,82324.66176990024,89625.3327641016
34,speed_race,50,69296.87269412343,20512.421460746944,42084.70289293857,56116.65761948157,70148.61234602462,84180.56707256762,98212.52179911066
36,speed_race,50,68584.38616092846,20169.892679042296,45136.65304596165,51871.99131470229,65342.667852183615,78813.34438966488,92284.0209271462
38,speed_race,50,67339.97628795974,19639.56543384597,41172.62583571326,54082.024184132824,66991.42253255242,79900.82088097198,92810.21922939157
40,speed_race,50,67978.86423499044,18978.55247539497,43461.39213176923,55819.923322746996,68178.45451372473,80536.9857047025,92895.51689568028
42,speed_race,50,65114.33521703901,18490.507798588347,39307.552481468374,51116.8156195138,62926.0787575592,74735.34189560462,86544.60503365003
44,speed_race,50,63013.4016715268,17559.086576297985,40833.20134347012,52099.33484343543,63365.46834340069,74631.601843366,85897.73534333127
46,speed_race,50,59925.810489351774,16987.617995072476,36507.81080330486,47237.46175565278,57967.112708000655,68696.76366034856,79426.41461269643
48,speed_race,50,56611.9885291873,16561.60212760136,37293.70128150079,47488.586102697955,57683.47092389513,67878.35574509233,78073.24056628946
50,speed_race,50,55709.440604112795,15890.172530964375,37653.13632327378,42489.171430764734,56997.276753237646,66669.34696821956,76341.41718320151
52,speed_race,50,52939.189779794964,15095.939161497407,32915.12895444817,42064.38456321486,51213.64017198156,64937.523585131596,74086.77919389831
54,speed_race,50,50297.61781823107,14537.428357202403,32603.42441654441,41241.69102219613,49879.95762784785,58518.224233499524,67156.49083915124
56,speed_race,50,47749.405389563304,13614.872852262273,31809.46608881907,39939.59936472657,48069.73264063404,56199.865916541545,64329.999192449046
58,speed_race,50,45148.488443567796,12959.337023239374,26779.72589593305,38225.15087420882,45855.43419305928,53485.71751190978,61116.000830760255
60,speed_race,50,45095.384133050306,12271.4609487132,28964.202168668475,36102.20914436731,46809.2196079156,53947.226583614436,61085.233559313274
62,speed_race,50,43168.46067415658,11644.014827308758,26896.90855940123,36872.72372386408,43523.26716683933,50173.810609814565,56824.354052789786
64,speed_race,50,41265.93021064831,10888.09516520278,27579.77685934957,33755.28148496944,39930.786110589295,49194.04304901909,55369.547674638976
66,speed_race,50,40552.05963747347,9988.25575386817,27332.907799849127,33034.87335191172,41587.821680005625,47289.78723206825,52991.75278413085
68,speed_race,50,37865.97770520781,9148.579053334943,26392.08348375879,31637.891791656395,36883.700099554,44752.412561400386,49998.220869298006
70,speed_race,50,35885.62804932094,8226.759378665483,24538.944679338427,29328.595743071026,36513.072338669896,41302.723402402495,46092.37446613508
72,speed_race,50,32425.280532805384,7255.700129060714,22094.017402062702,28623.28690262686,32976.13323633632,37328.97957004575,41681.825903755205
74,speed_race,50,28088.953250932373,6271.241405637964,20760.958212364174,24678.519912702686,28596.081613041184,32513.643313379696,36431.205013718194
76,speed_race,50,23933.491618937427,5324.672337531508,16748.941901270446,20250.525738714146,23752.109576157847,27253.693413601533,30755.277251045234
78,speed_race,50,18014.71296462639,4457.654036165156,11985.758004747782,15075.39080249222,18165.02360023666,21254.656397981104,24344.289195725534
80,speed_race,50,12242.132964824124,3675.1323432569825,6836.801365306266,9535.284516181331,12233.76766705641,14932.250817931483,16281.49239336903
82,speed_race,50,5121.452725813568,2951.569467960298,1030.2438710125643,3343.2294289054917,5656.214986798412,6812.707765744875,9125.693323637795
84,speed_race,50,-2192.0719263545056,2286.4934511233078,-4975.627495642846,-3999.489338366817,-2047.2130238147365,-94.93670926267077,881.2014480133657
86,speed_race,50,-9958.298097508632,1677.767380440982,-12363.218549572855,-10765.901564939333,-9967.24307262258,-8369.926087989072,-7571.267595672311
88,speed_race,50,-17430.470410304126,1230.888482503208,-19311.62777280247,-18036.266849074775,-17398.586387210933,-16760.90592534709,-16123.225463483242
90,speed_race,50,-24856.47903589716,777.9726932970677,-25909.44649092045,-25428.83694460465,-24948.22739828885,-24467.617851973046,-23987.008305657244
92,speed_race,50,-31814.798974262623,494.14638953027435,-32449.169246146183,-32105.876713063466,-31762.58417998075,-31419.291646898033,-31075.99911381532
94,speed_race,50,-38369.62988096173,281.09000220196515,-38655.394242769755,-38437.75192608428,-38437.75192608428,-38220.10960939881,-38002.467292713336
96,speed_race,50,-44143.35407915228,124.07349249686268,-44327.697121384874,-44218.87596304214,-44110.05480469941,-44001.23364635667,-44001.23364635667
98,speed_race,50,-48142.09051218036,34.054859966394865,-48176.25841799808,-48176.25841799808,-48141.929164689805,-48107.599911381534,-48107.599911381534
100,speed_race,50,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0
0,balanced_field,50,45041.25672259331,15384.606896650157,24232.991676237143,36352.663786643185,48472.335897049314,48472.335897049314,60592.00800745528
2,balanced_field,50,50464.21187831147,17754.732170160703,34109.73745452259,34109.73745452259,45914.61288673636,57719.48831894995,69524.36375116372
4,balanced_field,50,57956.87151769259,19933.259193051836,31876.918363250792,43368.41567739131,54859.91299153169,66351.41030567221,89334.40493395319
6,balanced_field,50,66985.92730601787,22254.67512214692,40844.94498340778,52025.861289057866,63206.77759470811,85568.61020600854,96749.52651165868
8,balanced_field,50,77004.64947789743,24128.143646748456,49191.809586584044,60062.144883744,70932.48018090388,92673.15077522374,103543.48607238362
10,balanced_field,50,94561.82616169198,26663.795589327656,56951.77303621579,78078.04919151771,88641.18726916864,109767.46342447051,130893.73957977243
12,balanced_field,50,104957.02565280406,28107.428020671952,74365.64196857519,84622.60213093189,105136.52245564529,125650.44278035875,146164.36310507215
14,balanced_field,50,115394.08152389826,28548.284842918314,80617.48668739521,90569.29519691103,110472.91221594263,130376.52923497432,150280.14625400593
16,balanced_field,50,124226.3718900845,28839.642564463207,86309.61958488342,105610.09669424742,124910.57380361148,144211.05091297548,163511.52802233954
18,balanced_field,50,131482.89892827312,29154.851948588697,91398.61257270398,110095.9497724004,128793.28697209677,147490.6241717932,166187.96137148963
20,balanced_field,50,143678.51380538315,29149.979705188005,104989.51153362115,123090.47638426302,141191.44123490492,159292.40608554686,177393.37093618867
22,balanced_field,50,148390.50652999035,29125.5375303997,108661.63350127186,126169.12409451563,143676.61468775946,169937.85057762515,187445.34117086895
24,balanced_field,50,150371.68119813933,28419.199534784282,111759.90827030761,128675.97710903262,145592.04594775764,170966.14920584505,187882.21804457007
26,balanced_field,50,157501.95004184154,27818.80433130438,122514.73651906598,138847.49263921427,155180.24875936247,179679.3829395849,196012.13905973313
28,balanced_field,50,157853.27929224033,27503.078543889187,124228.2176298851,139977.6610314566,155727.10443302817,179351.26953538545,195100.712936957
30,balanced_field,50,162399.5521225531,26328.735788173406,133035.69509726966,140622.6669147731,163383.58236728335,178557.52600229013,193731.46963729692
32,balanced_field,50,160868.2005939165,25524.621591220784,126128.68773510854,140730.02972351137,162632.04270611552,177233.38469451832,191834.72668292111
34,balanced_field,50,162254.36317105297,24779.430879457894,133292.4086154682,147324.36334201123,161356.31806855422,175388.27279509723,196436.20488491177
36,balanced_field,50,158724.76527913832,23354.186688491773,125960.71227084944,146166.72707707138,159637.40361455266,173108.08015203397,186578.75668951526
38,balanced_field,50,154710.78431006343,22612.73758479815,125083.71510044055,137993.1134488601,157357.21097148943,170266.60931990904,183176.0076683286
40,balanced_field,50,153853.35406861847,21774.0415288344,123791.84487312465,142329.64165959126,154688.172850569,167046.70404154676,179405.2352325245
42,balanced_field,50,147648.68482568144,20487.15521476956,121972.39444778624,133781.65758583165,145590.92072387706,163304.81543094513,175114.07856899058
44,balanced_field,50,141914.64102518366,19687.384961815744,114063.0690932445,130962.26934319243,142228.40284315773,153494.536343123,164760.6698430883
46,balanced_field,50,135338.6257253813,18571.37691702984,111615.36746974013,122345.018422088,133074.66937443594,149169.14580295773,159898.7967553057
48,balanced_field,50,128375.31201831739,17727.305921315165,103560.45261928241,118852.77985107817,129047.66467227534,139242.5494934725,149437.43431466972
50,balanced_field,50,125167.47843896256,16546.044687292775,105357.62782814729,115029.69804312926,124701.76825811117,134373.8384730931,144045.90868807503
52,balanced_field,50,117910.34117154946,15570.172920116254,96959.91821581504,106109.17382458175,119833.05723773176,128982.3128464985,138131.5684552652
54,balanced_field,50,110708.03958486543,14616.833130403445,93071.29065610634,101709.55726175805,110347.82386740972,118986.09047306149,127624.35707871316
56,balanced_field,50,103737.16168743641,13508.581096266224,84655.33238221775,96850.53229607898,104980.66557198646,113110.79884789395,121240.93212380144
58,balanced_field,50,96406.82420877568,12658.453728866214,80191.7091278865,87821.99244673699,95452.27576558749,106897.70074386321,110712.84240328846
60,balanced_field,50,91635.90341530433,11680.514746151794,75361.24751071098,82499.2544864098,93206.26494995807,100344.27192565694,107482.27890135578
62,balanced_field,50,84749.6534426707,10713.86633786394,70125.44093874027,76775.98438171552,83426.52782469074,93402.3429891536,100052.88643212884
64,balanced_field,50,77459.6364957125,9843.177674047089,64632.80461306876,70808.30923868866,76983.81386430851,83159.31848992835,89334.82311554824
66,balanced_field,50,71750.07905730642,8721.52110702185,61544.70111222478,67246.66666428738,72948.63221634999,78650.59776841258,81501.58054444389
68,balanced_field,50,64257.11472140986,7699.259070598535,55244.029177195596,60489.8374850932,65735.64579299079,68358.54994693959,73604.35825483719
70,balanced_field,50,58053.09110248813,6791.924762976305,48487.19999800139,53276.85106173398,58066.50212546655,62856.15318919915,67645.80425293175
72,balanced_field,50,49768.54382252061,5960.426663552946,41681.825903755205,46034.67223746465,50387.51857117409,54740.364904883536,56916.788071738265
74,balanced_field,50,41423.549766544566,5175.419396281841,34472.424163548945,38389.98586388743,42307.54756422594,44266.32841439519,48183.8901147337
76,balanced_field,50,34185.95401578069,4285.49365462673,29004.485332323384,30755.277251045234,34256.86108848892,37758.44492593262,39509.23684465447
78,balanced_field,50,25432.921312010785,3641.934691579288,21254.656397981104,22799.47279685331,25889.105594597757,27433.92199346998,30523.55479121441
80,balanced_field,50,17616.16215979184,2878.942408648429,13583.00924249395,16281.49239336903,17630.73396880657,20329.217119681634,21678.458695119174
82,balanced_field,50,8658.238942387634,2305.1144791692086,5656.214986798412,6812.707765744875,9125.693323637795,10282.186102584252,11438.678881530715
84,balanced_field,50,5.507907121034194,1851.7604790020466,-2047.2130238147365,-1071.0748665387073,-94.93670926267077,881.2014480133657,1857.3396052894022
86,balanced_field,50,-8708.078093635982,1406.4855508736337,-10765.901564939333,-9967.24307262258,-8369.926087989072,-7571.267595672311,-6772.609103355557
88,balanced_field,50,-16770.91750859835,1068.7291514789968,-18036.266849074775,-17398.586387210933,-16760.90592534709,-16123.225463483242,-15485.545001619394
90,balanced_field,50,-24476.509128579888,667.0884308228855,-25428.83694460465,-24948.22739828885,-24467.617851973046,-23987.008305657244,-23506.398759341446
92,balanced_field,50,-31650.43050942262,435.5308288528346,-32105.876713063466,-31762.58417998075,-31419.291646898033,-31419.291646898033,-31075.99911381532
94,balanced_field,50,-38307.36241415801,255.91064297506364,-38655.394242769755,-38437.75192608428,-38220.10960939881,-38220.10960939881,-38002.467292713336
96,balanced_field,50,-44126.56297441999,115.41647723584641,-44327.697121384874,-44218.87596304214,-44110.05480469941,-44001.23364635667,-44001.23364635667
98,balanced_field,50,-48139.33730606503,33.26573285656182,-48176.25841799808,-48141.929164689805,-48141.929164689805,-48107.599911381534,-48107.599911381534
100,balanced_field,50,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0
